Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,Target
28,4,6,1,5,1,4,1,0,0,55,9,1
59,7,4,0,7,0,4,1,0,0,40,9,0
40,7,4,1,1,1,4,0,0,0,38,9,0
41,4,1,0,8,0,4,1,0,0,50,6,1
38,2,5,0,8,0,4,1,0,0,70,9,1
23,4,4,1,2,3,4,1,0,0,40,9,0
40,4,1,0,5,0,4,1,0,0,40,9,1
41,6,4,0,7,5,4,0,0,0,20,9,0
24,7,0,0,4,0,4,1,0,0,50,9,0
20,0,4,1,0,3,4,1,0,0,20,9,0
38,4,4,2,2,1,4,1,0,1741,40,9,0
56,4,4,0,1,0,4,1,0,0,35,0,0
58,4,4,0,1,0,4,1,0,0,45,9,1
32,4,4,1,7,1,4,0,0,0,34,9,0
40,4,0,0,4,0,4,1,0,1977,60,9,1
45,4,4,0,1,0,4,1,0,0,40,0,0
41,4,6,0,5,5,4,0,0,0,40,9,1
42,4,1,0,1,5,2,0,0,0,40,9,0
59,2,3,3,7,4,2,0,0,0,30,9,0
19,2,4,1,1,3,4,1,0,0,40,9,0
58,4,4,1,2,1,4,1,0,0,20,9,0
42,6,4,0,2,0,1,1,0,0,40,7,1
20,4,4,1,7,3,4,0,0,0,40,9,0
32,4,4,2,7,1,4,0,0,0,30,9,0
45,4,0,3,8,1,4,0,0,0,45,9,0
50,4,3,2,2,1,4,1,0,0,40,9,0
36,4,1,2,5,3,4,0,0,0,40,9,0
45,4,4,0,6,0,4,1,0,0,60,9,0
17,4,3,1,7,3,4,1,0,0,12,9,0
59,4,4,0,6,0,4,1,4064,0,40,9,0
26,4,3,0,2,0,4,1,0,0,40,9,0
37,5,4,0,8,0,1,1,0,0,75,7,1
19,0,4,1,0,3,4,1,0,0,24,1,0
64,4,4,0,8,0,4,1,0,0,40,9,1
33,4,1,1,5,1,4,0,0,0,45,9,0
33,4,4,0,2,5,4,0,0,0,40,9,1
61,4,4,0,8,0,4,1,0,0,40,9,1
17,4,3,1,7,3,4,1,1055,0,24,9,0
50,6,5,0,2,0,4,1,2407,0,98,9,0
27,2,5,1,5,3,4,1,0,0,35,9,0
30,4,4,2,5,3,4,0,0,0,40,9,0
43,4,4,0,2,0,2,1,0,0,40,9,0
44,4,4,0,2,0,4,1,7298,0,40,9,1
35,4,4,1,8,1,4,0,0,0,40,9,0
25,4,4,1,4,3,4,0,0,0,40,9,0
24,4,4,0,2,5,4,0,7298,0,48,9,1
22,4,1,1,5,1,4,0,0,0,15,3,0
42,2,4,0,2,0,4,1,5178,0,40,9,1
34,4,0,2,6,4,2,0,0,0,45,9,0
60,4,1,2,5,1,4,0,0,0,42,9,0
21,4,4,1,2,3,4,1,0,0,40,9,0
57,1,5,0,6,0,4,1,15024,0,40,9,1
41,4,6,0,5,0,4,1,0,0,60,9,1
50,4,4,2,7,1,4,1,0,0,45,9,0
25,4,1,1,8,1,4,0,0,0,40,9,0
50,4,3,0,2,0,4,1,0,0,40,8,0
36,4,1,0,5,0,4,1,0,0,45,9,0
31,4,4,2,5,1,4,0,0,0,40,9,0
29,2,1,1,4,1,4,1,0,0,56,9,0
21,4,4,1,6,3,4,1,0,0,45,9,0
27,4,1,1,4,4,2,0,0,0,40,9,0
65,4,4,0,2,0,4,1,0,0,16,9,0
37,5,1,2,6,1,4,0,0,0,60,9,0
39,0,5,0,0,5,1,0,3464,0,40,0,0
24,4,4,1,2,3,4,1,0,0,40,9,0
38,4,4,2,6,1,4,1,0,0,80,9,0
48,4,1,0,1,0,4,1,7688,0,40,9,1
21,4,4,1,7,1,1,0,0,0,25,9,0
31,4,4,0,2,0,4,1,0,0,45,9,1
55,4,4,0,6,0,4,1,4386,0,40,9,1
24,4,4,0,1,5,1,0,0,0,40,7,0
43,4,4,2,1,1,4,0,0,0,40,9,0
26,4,0,1,4,1,4,1,0,0,45,9,0
46,4,0,1,5,1,4,0,0,0,33,9,0
35,4,0,0,1,0,4,1,0,0,40,9,1
41,5,4,0,2,0,4,1,0,0,54,9,1
26,4,1,1,6,1,4,1,0,0,40,9,0
34,4,5,0,8,0,1,1,7298,0,35,2,1
19,0,4,1,0,3,2,0,0,0,25,9,0
36,6,1,2,5,1,2,0,0,0,40,9,1
22,4,4,1,6,3,4,1,0,0,15,9,0
24,4,4,1,2,1,4,1,0,0,40,9,0
77,6,4,0,6,0,4,1,0,0,40,9,0
22,4,3,0,2,2,4,0,0,0,40,5,0
29,4,4,1,4,1,4,0,0,0,40,9,0
62,4,4,3,7,1,4,0,0,0,24,9,0
39,6,4,0,8,0,4,1,0,0,40,9,0
43,4,4,0,2,0,4,1,0,1485,50,9,0
35,4,4,2,2,1,4,1,0,0,45,9,0
29,4,3,1,8,1,4,0,0,0,40,9,0
76,6,5,0,2,0,4,1,0,0,10,9,0
63,6,4,0,2,0,4,1,0,0,45,9,0
23,0,0,1,0,3,2,0,0,0,15,9,0
43,4,4,0,5,5,4,0,0,1887,50,9,1
58,6,4,0,2,0,4,1,0,0,40,9,0
66,4,4,1,2,1,4,1,2050,0,55,9,0
41,4,4,1,2,1,2,1,0,0,45,9,0
26,4,1,1,1,1,4,1,0,0,40,9,0
47,4,0,1,7,1,4,1,0,0,40,9,0
55,2,3,0,1,0,4,1,0,0,40,9,0
53,4,4,0,2,0,4,1,0,0,40,9,0
17,4,3,1,7,2,4,1,0,0,48,5,0
30,4,4,1,2,2,4,1,0,0,40,9,0
49,4,5,1,5,1,4,1,0,0,60,9,0
19,4,4,1,6,4,2,1,0,0,30,5,0
45,4,4,0,7,0,2,1,0,0,40,9,0
26,4,0,1,6,1,4,1,0,0,40,9,0
38,4,0,0,2,0,4,1,7298,0,40,9,1
36,7,4,0,4,0,4,1,7298,0,40,9,1
33,4,4,1,2,1,4,1,0,0,20,9,0
22,7,4,1,4,3,2,0,0,0,40,9,0
43,6,1,1,6,1,4,1,0,0,42,9,0
67,0,3,0,0,0,4,1,0,0,8,9,0
30,0,0,2,0,4,4,0,0,0,40,9,0
56,4,0,2,7,1,4,1,0,0,25,6,0
31,4,1,1,5,3,4,1,0,0,25,9,0
33,4,1,0,8,0,4,1,0,0,40,9,1
26,4,4,0,7,0,4,1,0,0,40,9,0
33,4,1,0,8,0,4,1,0,0,40,9,1
46,2,3,0,2,0,4,1,0,0,30,9,0
59,0,1,0,0,0,4,1,0,0,40,9,1
38,1,4,0,1,0,4,1,0,0,40,9,1
65,4,3,3,7,4,3,1,0,0,40,9,0
40,4,0,0,4,0,4,1,0,0,40,9,1
42,4,4,0,1,5,4,0,0,0,35,9,0
26,6,3,0,2,0,4,1,0,0,40,4,0
36,4,3,0,7,5,4,0,0,0,24,9,0
62,4,5,0,5,0,4,1,0,0,40,9,1
43,4,1,0,2,0,4,1,0,0,45,9,0
43,4,1,2,8,1,4,1,0,1564,45,9,1
22,4,4,2,6,1,4,1,0,0,55,9,0
28,4,4,0,2,0,4,1,0,0,40,9,0
56,6,4,0,6,0,4,1,0,0,45,9,0
22,4,0,1,6,1,4,0,0,0,15,9,0
57,4,1,2,8,1,4,0,0,0,45,9,1
39,4,4,2,6,4,4,0,0,0,40,9,0
26,1,4,1,1,4,4,0,0,0,15,9,0
17,4,3,1,7,3,4,1,0,0,10,9,0
40,7,0,0,2,0,4,1,0,0,38,9,1
45,4,4,0,2,0,2,1,0,0,40,9,0
44,4,4,1,2,1,2,1,0,0,40,9,0
20,2,4,1,1,3,4,0,0,0,10,9,0
33,4,4,0,2,5,4,0,0,0,40,9,0
23,4,4,1,6,1,4,1,0,0,40,9,0
46,6,5,2,8,1,4,1,0,0,30,9,0
38,4,4,0,6,0,4,1,0,0,50,9,0
54,4,4,2,2,1,4,1,0,0,40,9,0
46,4,3,2,2,1,4,0,0,2339,45,9,0
25,4,4,0,2,0,4,1,0,0,40,9,0
46,4,4,2,6,1,4,0,0,0,40,9,0
36,2,4,0,2,5,4,0,0,0,40,9,0
23,4,4,1,7,1,4,0,0,0,25,9,0
29,4,4,2,2,1,4,1,0,0,40,9,0
44,4,4,0,1,5,4,0,0,2415,6,9,1
19,4,4,1,1,3,4,0,0,0,16,9,0
19,4,4,1,7,2,4,0,0,0,40,9,0
35,4,4,0,7,5,4,0,0,0,40,9,1
27,4,1,1,2,1,4,1,0,0,50,9,0
46,6,0,2,2,1,4,1,0,0,40,9,0
34,7,1,0,8,0,4,1,7688,0,45,0,1
34,4,4,1,7,1,4,0,0,0,35,9,0
44,4,4,0,4,0,4,1,0,0,40,9,0
45,4,4,2,2,4,4,0,0,0,40,9,0
20,0,4,1,0,2,4,0,0,0,35,9,0
25,4,1,0,8,0,4,1,0,0,55,9,1
52,5,1,0,8,0,4,1,0,0,50,9,1
20,4,4,1,2,3,4,1,0,0,40,9,0
28,4,4,1,7,1,4,0,0,0,40,9,0
50,7,1,0,4,0,4,1,0,0,40,9,1
34,4,0,2,4,1,4,0,0,0,64,9,0
28,4,3,0,2,0,3,1,0,2179,40,5,0
41,4,5,0,8,0,4,1,0,1977,65,9,1
28,4,4,0,1,0,4,1,0,0,40,9,0
46,6,4,0,2,0,4,1,0,0,25,9,0
28,0,4,0,0,5,4,0,0,1887,40,9,1
32,4,4,0,8,0,4,1,0,0,50,9,0
41,2,4,2,7,1,2,0,0,0,24,9,0
24,4,4,1,2,4,2,0,0,0,40,9,0
33,4,4,2,8,4,4,0,0,0,40,9,0
46,4,2,0,8,0,4,1,15024,0,60,9,1
31,7,4,0,2,0,4,1,0,0,40,9,0
35,4,3,2,2,1,4,1,0,0,50,9,1
52,4,3,0,2,0,4,1,0,0,40,5,0
30,4,3,1,7,3,4,0,0,0,19,9,0
34,2,3,2,2,1,2,1,0,0,40,9,0
34,7,4,2,2,4,4,0,0,0,40,9,0
20,4,4,0,6,0,4,1,0,0,30,9,0
17,4,3,1,2,3,4,1,2176,0,18,9,0
32,7,1,0,8,5,4,0,0,0,40,9,1
29,4,4,2,2,1,4,1,0,0,40,9,0
33,4,3,1,2,4,4,0,0,0,35,9,0
25,4,4,0,2,0,4,1,0,0,60,9,0
36,1,5,1,5,1,4,1,0,1408,40,9,0
23,4,4,1,2,1,4,1,0,0,72,5,0
63,5,4,0,8,0,4,1,0,0,40,9,1
47,2,5,0,5,0,4,1,0,0,40,9,0
80,0,4,3,0,1,4,1,0,0,24,9,0
17,0,3,1,0,3,4,1,0,0,40,9,0
40,6,1,2,5,1,4,0,2174,0,40,9,0
30,4,0,0,7,5,4,0,0,0,25,9,1
27,4,4,1,2,3,1,1,0,1980,40,7,0
33,4,5,0,5,0,4,1,0,0,50,9,1
34,2,4,1,2,1,2,1,594,0,60,9,0
34,2,4,1,4,1,4,0,0,0,40,9,0
23,4,4,0,1,0,4,1,0,0,40,9,0
42,2,4,0,1,5,4,0,0,0,40,9,0
29,4,1,1,5,1,4,1,0,0,40,9,0
45,4,4,2,1,1,4,0,0,0,28,9,0
24,1,4,1,3,3,4,1,0,0,40,9,0
44,4,4,0,5,0,4,1,0,0,40,9,1
27,4,3,1,2,2,4,1,0,0,40,5,0
20,4,4,1,6,1,4,1,0,0,35,9,0
44,4,4,3,8,4,2,0,0,0,40,9,0
51,4,4,0,2,0,0,1,0,0,40,9,0
20,4,4,0,2,0,4,1,0,0,40,9,0
17,0,3,1,0,3,4,0,0,0,5,9,0
19,4,4,1,2,3,2,0,0,0,40,9,0
45,5,4,0,2,0,4,1,0,0,55,9,1
60,4,4,0,2,0,4,1,0,0,40,9,1
42,4,0,0,8,0,2,1,0,0,40,0,1
44,6,4,0,6,5,4,0,0,0,40,9,1
40,4,0,0,2,0,1,1,0,0,40,9,1
30,4,4,0,8,5,4,0,0,0,40,9,0
38,4,4,0,2,0,2,1,0,0,50,9,0
23,4,4,0,2,0,4,1,0,0,60,9,0
32,0,4,0,0,0,4,1,0,0,40,9,0
44,4,0,1,2,3,4,1,0,0,40,9,0
54,2,4,0,2,0,2,1,0,0,40,9,0
32,4,1,0,5,0,4,1,0,0,50,9,0
50,4,3,2,2,4,4,1,0,0,40,9,0
24,4,1,1,4,1,4,0,0,0,20,9,0
37,4,4,0,1,5,4,0,0,0,60,9,0
52,4,4,2,2,4,4,1,0,0,40,9,0
38,4,4,0,2,0,4,1,0,0,40,9,0
49,4,5,0,8,0,4,1,0,1977,45,9,1
30,4,1,0,4,5,4,0,0,0,16,9,1
60,4,4,1,5,4,4,1,0,0,40,9,1
22,0,4,1,0,3,4,1,0,0,40,9,0
35,4,4,1,2,1,4,1,0,0,40,9,0
30,4,4,1,2,1,4,1,0,0,60,9,0
67,4,0,2,7,1,4,0,0,0,24,9,0
46,4,1,1,2,1,4,0,0,0,40,9,0
17,4,3,1,7,1,4,1,0,0,6,9,0
22,4,4,1,2,3,4,1,0,0,30,9,0
27,4,3,1,7,1,4,1,0,0,40,9,0
23,4,4,1,7,4,4,0,0,0,35,9,0
33,4,0,0,2,0,4,1,0,0,45,4,0
43,6,4,0,2,0,4,1,0,0,20,9,0
28,7,1,1,5,1,4,1,0,0,20,9,0
41,4,4,2,2,4,4,0,0,0,40,9,0
52,0,3,1,0,2,2,1,594,0,40,9,0
25,4,4,2,1,3,2,0,0,0,20,9,0
63,0,3,0,0,0,4,1,0,0,35,9,0
59,2,4,0,2,0,4,1,0,0,45,9,0
45,2,1,2,5,4,4,0,0,0,40,9,0
38,4,1,0,6,0,4,1,15024,0,60,9,1
40,4,4,1,7,1,4,0,0,0,35,9,0
46,1,4,2,1,1,4,1,0,0,40,9,0
35,4,0,1,8,1,4,0,0,0,60,9,0
34,4,4,2,5,4,4,0,0,0,25,9,0
33,4,1,1,2,3,4,1,0,0,20,9,0
41,4,4,2,1,4,4,0,0,0,36,9,0
20,4,4,1,2,3,4,1,0,0,40,9,0
23,4,3,1,7,3,4,1,0,0,40,8,0
26,4,4,1,5,1,4,0,0,0,35,9,0
72,0,4,0,0,0,4,1,0,0,20,9,0
23,2,4,1,2,1,4,1,0,0,40,4,0
62,2,4,0,2,0,4,1,0,0,40,9,0
52,4,4,0,1,0,4,1,0,0,40,9,0
58,4,4,2,7,4,4,0,0,0,42,3,0
25,4,1,1,6,1,4,0,0,0,40,9,0
24,4,1,1,8,1,2,1,0,0,40,9,0
19,4,4,1,4,3,4,1,0,0,8,9,0
43,4,4,0,8,0,4,1,0,0,40,9,0
47,2,4,2,1,4,2,0,0,0,40,9,0
39,4,4,2,7,4,4,0,0,0,40,9,0
49,4,0,2,2,4,4,1,0,1380,42,9,0
53,0,3,3,0,4,2,0,0,0,30,9,0
32,4,0,1,2,1,4,1,0,0,45,9,0
34,4,4,0,5,0,4,1,0,0,50,9,1
28,4,4,2,2,1,4,1,0,0,45,9,0
57,0,0,3,0,4,4,0,0,0,38,9,0
25,4,4,1,1,1,0,0,0,0,20,9,0
20,0,4,1,0,3,4,1,0,0,24,9,0
21,0,4,1,0,4,4,0,0,0,35,9,0
34,4,1,0,5,0,4,1,0,0,50,9,1
38,5,1,0,8,0,4,1,15024,0,80,9,1
50,4,4,0,8,0,4,1,7688,0,50,9,1
24,2,4,2,2,1,2,1,0,0,50,9,0
37,2,4,0,4,0,4,1,0,0,45,9,1
44,4,4,2,2,4,4,1,0,0,58,9,1
28,4,4,0,6,5,4,0,0,0,40,9,0
42,4,1,0,8,0,4,1,0,0,40,9,1
74,4,4,2,1,1,4,0,0,0,9,9,0
38,6,4,0,2,0,4,1,0,0,50,9,0
44,6,5,0,5,0,4,1,0,0,40,9,0
44,4,3,2,2,4,3,0,0,0,46,5,0
