age,NumberOfDependents,RevolvingUtilizationOfUnsecuredLines,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,SeriousDlqin2yrs
35,2.0,0.655569945,0,0.261609907,5813.0,10,0,0,0,0
58,0.0,0.651603452,0,0.241135663,7783.0,11,0,1,0,0
69,0.0,0.027399502,0,0.00803428,5600.0,3,0,0,0,0
46,2.0,0.0097888619999999,0,1.051397656,3326.0,6,0,2,0,0
60,0.0,0.337520702,0,0.549877805,4500.0,10,0,2,0,0
67,0.0,0.0001,0,0.540983607,3720.0,2,0,1,0,0
55,1.0,0.750873672,2,0.316416365,7723.0,17,0,1,0,0
27,0.0,0.006799093,1,0.6810457520000001,764.0,3,0,0,0,0
31,2.0,0.004264079,0,0.111444278,2000.0,6,1,0,0,0
64,3.0,0.26948375,0,0.16106176,9455.0,13,0,1,0,0
36,1.0,0.265898391,0,0.262611807,8384.0,6,0,2,0,0
56,0.0,0.827708197,0,0.369590815,6793.0,15,1,1,0,0
31,1.0,0.059668871,0,3162.0,0.0001,11,0,2,0,0
49,3.0,0.13306279,1,0.182881653,10257.0,9,0,2,0,1
36,3.0,0.234218112,0,0.116614347,8600.0,19,0,0,0,0
29,0.0,0.122295933,0,0.694646949,4800.0,5,0,1,0,0
37,0.0,0.460376317,0,0.074155949,4975.0,6,0,0,0,0
69,1.0,0.335558577,0,0.270448637,15000.0,14,0,2,0,0
41,2.0,0.270522569,0,2.797698945,1042.0,11,0,2,0,0
52,1.0,0.183316667,0,0.111131623,10833.0,14,0,2,0,0
66,0.0,0.074861676,0,0.208842479,4500.0,3,0,1,0,0
53,2.0,0.0172589769999999,0,2.604510673,12414.0,13,0,1,0,0
56,0.0,0.054497069,0,0.492021814,4950.0,18,0,2,0,0
31,0.0,0.029164236,0,0.395031809,3300.0,10,0,1,0,0
58,1.0,0.0001,0,0.3161448739999999,4886.0,9,0,1,0,0
64,0.0,0.0037496879999999,0,0.0040612309999999,3200.0,5,0,0,1,0
45,2.0,0.734477501,0,0.591477634,4716.0,13,0,2,0,1
60,0.0,0.0805641679999999,0,0.487288997,4916.0,15,0,2,0,0
51,0.0,0.039387786,0,15466.0,0.0001,7,0,0,0,0
83,0.0,0.0237674329999999,0,0.123797734,10500.0,13,0,0,0,0
34,1.0,0.888822236,0,0.368403802,3050.0,4,0,0,0,0
44,0.0,0.791173628,0,0.51241535,3100.0,5,0,1,0,0
37,0.0,0.24535301,0,0.288417167,6500.0,11,1,1,1,0
57,0.0,0.0105313789999999,0,0.280664917,5714.0,6,0,1,0,0
32,0.0,0.363199686,0,0.480523957,2900.0,4,0,1,0,0
75,0.0,0.032617977,0,0.006799093,7500.0,4,0,0,0,0
34,0.0,0.0193877789999999,0,0.32591852,4000.0,9,0,1,0,0
52,0.0,0.634485057,0,0.138238573,2690.0,2,0,0,0,0
44,1.0,0.888008615,0,0.299246282,4908.0,8,0,0,0,0
57,0.0,0.003108849,0,0.258939285,8333.0,7,0,1,0,0
46,3.0,0.1148309409999999,0,0.026235802,6250.0,6,0,0,0,0
80,0.0,0.018886792,0,0.003478779,10060.0,5,0,0,0,0
32,1.0,0.6354151570000001,0,0.519493502,3000.0,4,0,1,0,0
62,0.0,0.9999999,0,0.664221287,8314.0,8,0,3,0,0
47,2.0,0.096737158,0,0.009748781,8000.0,2,0,0,0,0
58,0.0,0.31844615,0,1.3826291080000002,3833.0,26,0,4,0,0
52,0.0,0.1869875339999999,0,0.023993145,3500.0,4,0,0,0,0
68,1.0,0.006541851,0,0.108089191,10000.0,10,0,2,0,0
39,3.0,0.180972181,1,0.384441575,3097.0,7,0,1,0,0
46,0.0,0.06790706,0,0.149103029,10200.0,6,0,2,0,0
44,1.0,0.033461782,0,1.243362832,4067.0,5,0,2,0,0
68,0.0,0.015271802,0,0.12290366,8168.0,6,0,0,0,0
31,0.0,0.51712072,0,0.123752495,500.0,3,0,0,0,0
34,0.0,0.317975796,0,0.297933792,4500.0,11,0,2,0,0
67,0.0,0.2975946419999999,0,0.239507959,4145.0,13,0,0,0,0
58,4.0,0.444837661,0,0.366545247,14000.0,9,0,2,1,0
58,0.0,0.003722015,0,0.63332301,3228.0,5,0,1,0,0
61,0.0,0.0001,0,0.2226598,3300.0,14,0,1,0,0
59,0.0,0.0001,0,0.218854341,19167.0,13,0,2,0,0
36,0.0,0.151912549,0,0.2663944669999999,12000.0,22,0,2,0,0
59,0.0,0.0001,0,0.351699622,4500.0,12,0,1,0,0
77,0.0,0.011498563,0,0.001998002,1000.0,1,0,0,0,0
48,0.0,0.0001,0,0.517468688,4550.0,7,0,2,0,0
81,1.0,0.163037489,0,0.086482558,2751.0,7,0,0,0,0
51,0.0,0.047311582,0,0.100920343,3150.0,5,0,0,0,0
53,0.0,0.083880003,0,0.199647533,7943.0,8,0,1,0,0
56,2.0,0.089478348,0,1.065901518,2700.0,11,0,1,0,0
63,1.0,0.773519223,0,1.129227053,4139.0,12,0,1,0,0
55,0.0,0.093962275,0,0.112051635,9450.0,6,0,2,0,0
54,1.0,0.21955042,0,0.315983758,5417.0,20,0,2,0,0
55,0.0,0.147996253,0,0.323088235,6799.0,5,0,1,0,0
53,3.0,0.243872021,0,0.534027778,8639.0,22,0,2,0,0
31,0.0,0.116676791,0,0.343593791,3800.0,7,0,1,0,0
38,4.0,0.9999999,0,0.43369976,5821.0,7,0,1,0,0
40,2.0,0.496911825,0,0.452363811,12500.0,11,0,2,0,0
48,0.0,0.130902106,1,0.427882174,3937.0,17,0,1,0,0
50,3.0,0.54699881,0,0.7480719790000001,3500.0,9,0,2,0,0
34,0.0,0.072277109,0,0.025911708,2083.0,2,0,0,0,0
48,5.0,0.0001,2,0.370876375,3000.0,14,0,1,0,0
57,1.0,0.175932019,1,0.655812625,3500.0,9,0,1,0,0
30,1.0,0.050789842,0,0.315171207,4000.0,4,0,1,0,0
28,0.0,0.0001,0,0.144616356,3166.0,7,0,0,0,0
36,1.0,0.21286031,0,0.563752087,9583.0,10,0,2,0,0
60,0.0,0.012682366,0,0.412979783,6825.0,20,0,2,0,0
58,4.0,0.121557062,0,0.342971419,12000.0,23,0,2,0,0
49,0.0,0.040795358,0,0.801999355,3100.0,11,0,1,0,0
40,3.0,0.147712223,0,0.034847816,6800.0,6,0,0,0,0
50,1.0,0.0001,1,0.7265669929999999,3477.0,5,0,1,0,0
47,1.0,1.046279103,1,1.104301274,5416.0,6,0,2,0,1
63,2.0,0.323719804,0,0.6108412670000001,5146.0,9,0,2,0,0
42,0.0,0.36459777,0,0.593899089,6916.0,7,0,3,0,0
54,0.0,0.637736406,2,3.382196162,1875.0,9,0,2,0,0
29,2.0,0.020966389,0,639.5,1.0,3,0,1,0,0
36,0.0,0.170103002,0,0.138461538,7734.0,8,0,0,0,0
33,0.0,0.7718456309999999,0,0.8524295140000001,5000.0,7,0,3,0,0
72,0.0,0.05538241,0,0.089091313,4500.0,4,0,0,0,0
53,3.0,0.16653274,0,0.5436259489999999,7506.0,11,0,3,0,0
79,0.0,0.008632035,0,0.365151154,4200.0,9,0,1,0,0
58,2.0,0.13527952,0,0.342005076,9455.0,11,0,2,0,0
69,1.0,0.167571389,0,0.330733853,5000.0,10,0,1,0,0
69,3.0,0.9999999,0,0.005319149,2255.0,0,1,0,0,0
75,0.0,0.068335151,0,0.010927876,10065.0,9,0,0,0,0
41,0.0,0.0001,0,0.907538526,2400.0,6,0,1,0,0
46,1.0,0.405183973,0,0.667835346,7700.0,22,0,2,0,0
55,0.0,0.676195456,0,0.436665827,3970.0,10,1,1,0,0
51,0.0,0.085338293,0,0.4775036279999999,6200.0,11,0,1,0,1
25,0.0,0.0001,0,0.152896812,2916.0,3,0,0,1,1
44,1.0,0.7864854059999999,0,0.291709578,3883.0,7,2,0,2,1
56,0.0,0.03833451,0,0.4389122179999999,5000.0,7,0,2,0,0
55,3.0,0.714980139,0,0.47090194,15000.0,12,0,2,0,0
64,0.0,0.043032042,0,0.3320163889999999,6833.0,14,0,2,0,0
53,0.0,1.095083357,5,0.536703799,3500.0,7,1,1,2,0
55,4.0,0.9999999,0,0.156259612,3250.0,5,0,0,0,0
80,0.0,0.101430135,1,0.016196761,5000.0,9,0,0,0,0
38,2.0,0.0258924689999999,0,74.5,1.0,13,0,0,0,1
44,3.0,0.7621585609999999,4,0.2244655019999999,21000.0,5,0,1,0,0
40,0.0,0.231692268,0,0.119660709,3300.0,7,0,0,0,0
69,0.0,0.035489848,0,0.308438695,3400.0,9,0,1,0,0
64,0.0,0.045423864,0,0.181311286,5200.0,4,0,1,0,0
61,2.0,0.311954668,0,0.269281443,9866.0,12,0,2,0,0
46,4.0,0.0787389159999999,0,0.166215372,4800.0,6,0,1,0,0
49,0.0,0.137609462,0,0.429533892,7272.0,11,0,2,0,0
64,0.0,0.030173038,0,0.17386957,9000.0,8,0,1,0,0
40,2.0,0.021978375,0,0.4437556239999999,10000.0,12,0,5,0,0
27,0.0,0.443696851,0,0.024340075,5833.0,4,0,0,0,0
92,0.0,0.0466403279999999,1,0.034326669,2650.0,13,0,0,0,0
50,0.0,0.2923659489999999,0,0.420180551,8750.0,8,0,2,0,0
66,0.0,0.9999999,1,0.358101135,1937.0,4,1,0,0,0
53,2.0,0.013500824,0,0.183464028,19000.0,8,0,1,0,0
62,0.0,0.9999999,0,0.04965839,6000.0,1,0,0,0,0
61,0.0,0.028113957,0,0.031349387,2200.0,12,0,0,0,0
42,2.0,0.2226962069999999,0,800.0,1.0,3,0,1,0,0
63,0.0,0.593985244,0,0.332698534,5250.0,4,0,2,0,0
73,0.0,0.017508178,1,0.135589153,4166.0,12,0,1,0,0
72,0.0,0.611865678,0,0.04578345,7600.0,3,0,1,0,0
52,0.0,0.333060631,3,0.7001533740000001,5215.0,15,0,2,1,0
45,2.0,0.009025178,0,0.376836435,8167.0,4,0,1,0,0
44,0.0,0.260271523,0,0.2968548039999999,6962.0,11,0,1,0,0
63,0.0,0.455950788,1,0.701766078,6001.0,19,0,2,0,0
37,0.0,0.080288098,0,0.322446259,6000.0,7,0,1,0,0
38,2.0,1.953488372,0,0.153500141,3556.0,5,0,0,0,1
36,1.0,0.181557324,0,0.56071964,2000.0,7,0,1,0,0
41,2.0,0.147123525,0,0.436025621,6400.0,5,0,1,0,0
63,0.0,0.025601772,1,0.262773723,10000.0,8,0,1,0,0
76,0.0,0.0001,0,0.002465931,7704.0,3,0,0,0,0
43,0.0,0.196372799,0,0.5374855820000001,2600.0,10,0,1,0,0
64,0.0,0.0839452419999999,0,0.588073078,2900.0,6,0,1,0,0
67,0.0,0.034833091,0,0.460246187,12916.0,9,0,2,0,0
52,1.0,0.787522133,0,0.353860086,4416.0,12,0,0,0,0
55,0.0,0.125429152,0,0.476704659,5000.0,3,0,2,0,0
42,2.0,0.06037487,0,0.578676723,5833.0,17,0,2,0,0
47,1.0,0.295928252,0,0.283765445,14000.0,6,0,2,0,0
61,1.0,0.973339258,1,0.209961825,5500.0,11,0,0,1,1
73,0.0,0.002856735,0,0.000285687,10500.0,10,0,0,0,0
68,0.0,0.9999999,0,0.040493251,6000.0,0,0,0,0,0
41,0.0,0.053431552,0,0.20364404,9000.0,3,0,1,0,0
44,0.0,0.732660667,2,0.14041952,9200.0,15,0,1,0,0
42,4.0,0.084220458,0,0.4585511579999999,6694.0,26,0,2,0,0
40,2.0,0.114561798,0,0.359964004,10000.0,20,0,2,0,0
78,0.0,0.012151003,0,0.008886914,4500.0,12,0,0,0,0
81,0.0,0.081310737,0,0.165566887,3333.0,4,0,0,0,0
49,0.0,0.09811305,0,0.257017809,6625.0,9,0,2,0,0
58,0.0,1.048210842,7,0.151956584,3500.0,12,0,0,0,1
54,2.0,0.011883886,0,0.092913547,9750.0,8,0,1,0,0
33,0.0,0.75264947,1,0.058322869,7166.0,6,0,0,0,0
53,5.0,0.112321289,0,0.266909775,8500.0,9,0,1,0,0
23,0.0,0.0001,0,0.0001,1725.0,1,0,0,0,0
49,1.0,0.6343270560000001,1,0.123125125,15000.0,7,0,0,0,0
44,2.0,0.15576324,0,0.278077082,4825.0,4,0,1,0,0
63,0.0,0.0001,0,0.0079889219999999,9387.0,9,0,0,0,0
65,1.0,0.034645112,0,0.125189985,12500.0,4,0,1,0,0
28,0.0,0.412398622,0,0.037259615,4991.0,5,0,0,0,0
66,0.0,0.0467109609999999,0,1.117952819,2500.0,12,0,1,0,0
32,2.0,0.976531824,0,0.264078812,6800.0,6,0,0,0,0
43,1.0,0.007982621,1,0.009691169,208333.0,11,0,1,0,0
59,1.0,0.267541336,0,0.637607437,5700.0,13,0,2,0,0
76,0.0,0.019779326,0,0.267149259,2900.0,9,0,0,0,0
68,0.0,0.010402205,0,0.0941405169999999,3600.0,6,0,1,0,0
61,0.0,0.9999999,0,0.529548989,1285.0,3,0,1,0,0
68,1.0,0.029816467,0,0.175139978,4464.0,12,0,1,0,0
57,1.0,0.181713732,0,0.130453416,11666.0,17,0,1,0,0
68,2.0,0.051368557,0,0.445277361,4668.0,10,0,1,0,0
57,3.0,0.29264536,0,0.2059278839999999,26484.0,11,0,2,0,0
46,0.0,0.2208237189999999,1,0.637749121,1705.0,5,0,0,0,1
69,0.0,0.008099838,0,0.389895596,8332.0,3,0,1,0,0
44,1.0,0.0001,0,0.326383681,6666.0,4,0,2,0,0
28,0.0,0.006099797,0,0.139429485,3750.0,8,0,0,0,0
53,1.0,0.909538698,1,0.5956539129999999,7500.0,16,0,1,0,0
40,0.0,0.941072508,0,0.178184282,8855.0,9,0,1,0,0
36,1.0,0.991667222,1,0.554878049,5411.0,10,0,2,0,0
42,1.0,0.6914884179999999,0,0.272721679,16250.0,11,0,1,0,0
64,0.0,0.112855258,0,0.307576329,2652.0,6,0,1,0,0
62,1.0,0.048244493,0,0.262879153,16615.0,11,0,1,0,0
47,0.0,0.9999999,0,0.092163472,9493.0,2,2,0,1,0
62,0.0,0.9999999,0,0.0001,5480.0,3,0,0,0,0
49,3.0,0.074256375,0,0.3479304139999999,5000.0,11,0,2,0,0
66,0.0,0.144878408,0,0.28446242,8900.0,9,0,1,0,0
54,2.0,0.1910019319999999,0,0.7056277059999999,5081.0,10,0,2,0,0
83,0.0,0.679813777,0,0.6895897559999999,4216.0,6,0,2,0,0
45,2.0,2340.0,0,0.339332853,8333.0,7,0,2,0,0
29,3.0,0.371875401,0,0.53628857,2300.0,9,0,1,0,0
67,0.0,0.0258564079999999,0,0.083799311,13054.0,13,0,1,0,0
29,0.0,0.547887778,1,0.24651504,2725.0,5,0,0,1,0
46,4.0,0.271668778,1,0.282830201,15800.0,14,0,2,0,0
25,0.0,0.085152475,0,1005.0,0.0001,5,0,0,0,0
68,0.0,0.897203427,0,0.7878030490000001,4000.0,8,0,2,0,0
33,1.0,0.25889775,0,0.537441339,4900.0,3,0,1,0,0
55,0.0,0.0001,1,0.03988553,5590.0,8,0,0,0,0
46,3.0,0.035940506,0,0.271186441,6666.0,10,0,1,0,0
66,1.0,0.9999999,0,0.0466339109999999,11600.0,2,0,0,0,0
66,0.0,0.465238835,0,0.391427671,3172.0,8,1,1,0,0
48,0.0,0.8654230509999999,0,0.0758483029999999,500.0,1,0,0,0,0
52,4.0,0.6964116709999999,0,0.408871921,11000.0,11,0,1,0,0
32,0.0,0.5444976579999999,1,0.166766647,6667.0,5,1,0,0,0
51,2.0,0.081238383,0,0.066830086,7750.0,14,0,0,0,0
27,0.0,0.948762809,0,0.144948404,4166.0,5,0,0,0,0
32,0.0,0.0001,2,0.463610776,7460.0,10,0,1,1,0
30,0.0,0.016598893,0,0.1365756159999999,1500.0,5,0,0,0,0
37,3.0,0.063329564,0,0.329935275,6179.0,6,0,1,0,0
49,1.0,0.093638481,0,0.0428365729999999,8333.0,10,0,0,0,0
37,5.0,0.0001,0,0.184027338,7900.0,5,0,1,0,0
36,0.0,0.730271957,1,0.632794037,5500.0,10,0,2,0,0
62,0.0,0.426371142,1,0.406053995,3666.0,15,0,1,0,0
57,1.0,0.948978489,0,0.043744532,8000.0,3,0,0,0,0
59,1.0,0.0001,0,0.0001,4200.0,7,0,0,0,0
38,4.0,1.00264667,2,0.472542946,3550.0,8,1,0,1,0
37,0.0,0.022890604,0,0.2884772989999999,6100.0,16,0,1,0,0
63,0.0,0.283821988,0,0.7502008029999999,1244.0,9,0,0,0,0
32,0.0,0.319779462,0,1.247340213,12500.0,12,0,8,0,0
52,1.0,0.155240525,0,0.483518065,6946.0,15,0,2,0,0
43,2.0,0.013115183,0,4211.0,0.0001,21,0,2,0,0
29,0.0,0.067259209,1,0.168340507,2090.0,3,0,0,0,0
45,2.0,0.284236153,1,0.318890815,7500.0,9,0,1,0,0
38,1.0,0.727560021,0,0.7124587459999999,2423.0,6,0,1,0,0
62,0.0,0.6877790970000001,0,0.249471161,7090.0,15,0,0,0,0
41,2.0,0.033708851,0,0.4087063529999999,6500.0,9,0,1,0,0
29,0.0,0.0001,0,0.193935355,3000.0,7,0,0,0,0
47,3.0,0.03719769,0,0.03975841,25000.0,11,0,1,0,1
55,1.0,0.0001,1,0.388320836,4400.0,4,0,2,0,0
87,0.0,0.053589282,0,0.001534331,5213.0,4,0,0,0,0
41,0.0,0.100773109,0,0.199761673,9230.0,7,0,1,0,0
61,0.0,0.0001,0,1.3949671769999998,913.0,11,0,2,0,0
28,1.0,0.399946674,0,0.1897025739999999,4000.0,6,0,0,0,0
43,4.0,0.052653171,0,0.5722921910000001,1984.0,9,0,0,0,0
71,1.0,0.072318616,0,0.426412462,4300.0,8,0,2,0,0
46,2.0,0.203959597,0,0.072914726,16100.0,6,0,1,0,0
30,0.0,0.9999999,0,0.090341011,5600.0,1,0,0,0,0
43,1.0,0.880370887,0,0.4613237639999999,7523.0,6,0,1,0,1
59,1.0,0.429246267,0,0.381254316,15928.0,17,0,1,0,0
72,0.0,0.360907571,0,0.356679286,3697.0,6,0,1,0,0
50,1.0,0.335737457,0,0.45722203,5773.0,9,0,1,0,0
68,0.0,0.635720859,1,0.2180712769999999,25000.0,27,0,3,0,1
69,0.0,0.507972665,2,0.193935355,3000.0,10,2,0,2,0
37,1.0,0.9999999,0,0.1846256389999999,4500.0,2,0,0,0,0
38,0.0,0.630073985,0,0.563328034,1886.0,3,0,1,0,0
59,0.0,0.028423247,0,0.033982276,14330.0,12,0,1,0,0
67,0.0,0.143427862,0,0.119463561,5666.0,9,0,0,0,0
30,2.0,0.186682782,0,0.698120752,2500.0,7,0,2,0,0
56,1.0,0.496388581,0,0.170164956,19580.0,12,0,1,0,0
51,2.0,0.457526639,0,0.3335833019999999,8000.0,16,0,2,0,0
28,0.0,0.947264856,0,0.467171717,1187.0,4,0,0,0,0
54,2.0,0.013916922,0,0.017655818,4700.0,7,0,0,0,0
35,3.0,1.047495906,2,0.314566116,3871.0,8,0,2,1,0
79,0.0,0.012586354,0,0.009596162,2500.0,11,0,0,0,0
46,3.0,0.543445655,0,0.267146571,5000.0,6,0,2,0,0
64,1.0,0.082317351,0,0.214426305,8636.0,29,0,1,0,0
74,0.0,0.292541492,0,0.164917541,2000.0,3,0,0,0,0
64,0.0,0.024240472,0,0.1015141419999999,10500.0,20,0,1,0,0
63,0.0,0.047650102,0,0.387956894,9000.0,6,0,2,0,0
63,1.0,0.7391464879999999,1,0.285156885,6150.0,12,0,0,0,1
54,1.0,0.186890655,0,0.655589124,3640.0,7,0,1,0,0
63,3.0,0.0075019369999999,0,0.278226307,8050.0,13,0,2,0,0
45,3.0,0.522314625,0,0.2902290919999999,14491.0,13,0,1,0,0
57,0.0,0.903231566,0,0.13080895,5228.0,10,0,0,0,0
43,1.0,0.017043518,0,0.10821382,2300.0,6,0,0,0,0
61,0.0,0.0607333959999999,0,0.008549573,20000.0,8,0,0,0,0
60,0.0,0.250008365,0,2.086478612,7550.0,26,0,0,0,0
34,0.0,0.466334165,2,0.007495315,3201.0,3,0,0,0,0
60,0.0,0.9999999,0,0.0001,4200.0,0,0,0,0,0
76,0.0,0.2679056139999999,0,0.2854529939999999,8200.0,12,0,0,0,0
76,2.0,0.029694361,0,0.070513488,9600.0,7,0,0,0,0
39,2.0,0.305246317,0,0.188281635,10154.0,6,0,1,0,0
63,1.0,0.702493864,0,0.582162622,4697.0,8,0,2,0,0
52,0.0,0.7424360409999999,0,0.414081023,9700.0,10,0,2,0,0
42,2.0,0.9999999,1,0.113421853,6250.0,3,3,0,1,0
63,0.0,0.134191514,0,926.5,1.0,9,0,1,0,0
58,2.0,0.002556199,0,0.115826132,7752.0,17,0,0,0,0
62,0.0,0.088845558,0,0.073772011,5394.0,5,0,0,0,0
46,2.0,0.203947961,1,1.206516118,5800.0,12,1,4,0,0
27,0.0,0.0066660969999999,0,0.000268637,7444.0,5,0,0,0,0
27,1.0,0.0140496489999999,0,0.352214765,3724.0,4,0,1,0,0
35,3.0,0.9999999,1,0.092985318,3064.0,1,0,0,0,0
55,0.0,0.368866624,0,0.437996083,9700.0,18,0,2,0,0
73,0.0,0.054553316,0,0.043259135,16666.0,13,0,0,0,0
51,0.0,0.179487766,0,0.492529978,10173.0,19,0,4,0,0
36,2.0,0.026885902,0,0.344879921,11200.0,6,0,2,0,0
56,1.0,0.265705207,0,0.259102536,31666.0,8,0,3,0,0
64,1.0,0.07083751,0,0.255290785,6000.0,6,0,0,0,0
56,0.0,0.030996074,0,0.131430952,4800.0,11,0,1,0,0
37,0.0,0.144914011,0,0.045366363,6700.0,5,0,0,0,0
48,1.0,0.353017659,0,1.299736021,4166.0,17,0,1,0,0
36,0.0,0.020074662,0,0.334245422,4750.0,5,0,1,0,0
49,2.0,0.733885463,2,0.369223765,8785.0,20,0,2,0,1
57,0.0,0.063514422,0,2221.5,1.0,12,0,2,0,0
39,1.0,0.03157211,0,0.644706486,3900.0,14,0,1,0,0
61,1.0,0.991502124,10,1.2979007,3000.0,11,2,3,5,1
38,2.0,0.397702982,0,0.41627543,5750.0,6,0,1,0,0
24,0.0,0.971352432,0,0.035803497,1200.0,3,0,0,0,0
73,0.0,0.0001,0,0.386728192,4550.0,18,0,0,0,0
79,0.0,0.9999999,0,0.130140954,5178.0,6,0,1,0,0
81,1.0,0.003851709,0,0.000822143,3648.0,1,0,0,0,0
55,0.0,0.010887967,0,0.7251374309999999,2000.0,7,0,2,0,0
57,2.0,0.686083014,0,0.16069592,11667.0,6,1,1,0,0
58,1.0,0.212464485,0,0.518991188,3290.0,10,0,1,0,0
52,0.0,0.006956358,0,0.003278689,2439.0,4,0,0,0,0
51,2.0,0.073251754,0,0.4466881279999999,10250.0,9,0,1,0,0
63,0.0,0.431904058,0,0.41905226,8208.0,22,1,2,0,0
41,0.0,0.026944485,0,0.686736475,4583.0,8,0,3,0,0
43,2.0,0.297094601,1,0.603763294,3666.0,9,0,1,0,0
40,0.0,0.922670104,0,0.207789429,9345.0,7,0,0,0,0
74,0.0,0.051077957,0,0.306409131,3416.0,9,0,1,0,0
49,0.0,0.319190816,0,0.3581533879999999,9400.0,18,0,2,0,0
68,0.0,0.008737352,0,0.209965006,6000.0,28,0,1,0,0
57,0.0,0.0001,0,0.785229953,6783.0,8,0,3,0,0
48,6.0,0.243674266,0,0.179979778,8900.0,10,0,1,0,0
40,2.0,0.9999999,1,0.19170579,3833.0,3,2,0,0,0
23,1.0,0.0001,0,0.0001,3500.0,1,0,0,0,0
52,2.0,0.028910707,0,0.013543599,5389.0,7,0,0,0,0
55,0.0,0.50329934,0,0.4540574679999999,3166.0,5,0,2,0,0
61,0.0,0.799981673,3,0.671076012,5064.0,19,0,3,1,0
33,0.0,0.069987933,0,0.114004783,3762.0,7,0,0,0,0
69,0.0,0.067901335,0,0.065493451,10000.0,5,0,1,0,0
