age_cat,race,sex,c_charge_degree,is_recid,priors_count,time_served,two_year_recid
25 - 45,African-American,Male,F,0,1,0,0
25 - 45,Caucasian,Female,F,1,0,1,1
Less than 25,Caucasian,Male,F,1,8,12,1
25 - 45,Caucasian,Male,F,0,0,5,0
25 - 45,Caucasian,Male,M,0,0,38,0
25 - 45,Caucasian,Female,F,0,1,106,0
25 - 45,Caucasian,Male,F,0,1,1,0
Less than 25,African-American,Male,F,1,3,6,1
25 - 45,Caucasian,Male,M,1,5,2,1
25 - 45,Caucasian,Male,F,0,0,14,0
25 - 45,African-American,Male,F,1,5,0,1
25 - 45,African-American,Male,F,0,3,1,0
25 - 45,Caucasian,Male,F,1,1,0,1
25 - 45,African-American,Male,F,1,10,176,1
Less than 25,African-American,Male,F,1,0,0,1
25 - 45,African-American,Male,F,1,28,1,1
25 - 45,African-American,Male,M,0,1,1,0
25 - 45,Other,Female,F,0,1,1,0
25 - 45,Caucasian,Male,F,1,13,471,1
25 - 45,African-American,Male,F,1,3,0,1
Greater than 45,Caucasian,Male,M,0,3,0,0
25 - 45,African-American,Male,F,1,19,0,1
25 - 45,Caucasian,Male,F,0,6,0,0
25 - 45,Caucasian,Female,F,0,2,3,0
25 - 45,Caucasian,Male,M,0,1,3,0
25 - 45,Other,Female,M,0,2,1,0
25 - 45,Caucasian,Male,M,1,0,0,1
Less than 25,African-American,Female,M,0,0,2,0
25 - 45,Caucasian,Female,F,1,10,7,1
25 - 45,Caucasian,Male,M,1,2,0,1
25 - 45,African-American,Male,F,1,3,8,1
25 - 45,Caucasian,Male,M,1,2,15,1
25 - 45,African-American,Male,M,1,1,1,0
Greater than 45,Caucasian,Male,F,1,1,0,1
Less than 25,African-American,Female,F,0,1,2,0
25 - 45,Caucasian,Female,M,0,0,0,0
25 - 45,African-American,Male,F,1,9,13,1
25 - 45,African-American,Male,F,1,11,1,1
25 - 45,African-American,Male,M,1,8,0,1
25 - 45,African-American,Female,F,1,0,1,1
25 - 45,African-American,Female,F,1,7,26,1
25 - 45,African-American,Male,F,1,2,1,1
Less than 25,African-American,Female,F,0,0,0,0
25 - 45,Caucasian,Female,M,0,0,0,0
Greater than 45,African-American,Female,F,1,1,0,1
Greater than 45,Other,Male,F,1,13,1,1
Greater than 45,Hispanic,Male,F,0,1,14,0
25 - 45,African-American,Female,F,1,4,6,1
25 - 45,Hispanic,Male,F,0,1,0,0
25 - 45,African-American,Female,M,1,2,0,1
25 - 45,Caucasian,Male,M,0,1,3,0
25 - 45,Caucasian,Female,F,1,3,530,1
25 - 45,African-American,Male,F,0,1,70,0
Greater than 45,Caucasian,Male,M,0,2,0,0
Less than 25,African-American,Male,F,0,1,0,0
Greater than 45,Caucasian,Male,F,1,6,22,1
25 - 45,Caucasian,Male,F,0,0,2,0
25 - 45,African-American,Male,M,1,1,1,1
Less than 25,Hispanic,Male,F,0,0,0,0
25 - 45,African-American,Female,F,0,5,1,0
Greater than 45,Hispanic,Male,M,0,2,3,0
Greater than 45,African-American,Male,F,0,8,15,0
25 - 45,Hispanic,Male,F,1,8,117,1
25 - 45,African-American,Male,M,1,6,0,1
Greater than 45,Hispanic,Male,F,0,2,188,0
Greater than 45,Hispanic,Male,F,0,0,0,0
Greater than 45,Caucasian,Male,M,1,1,0,1
Greater than 45,Caucasian,Male,F,0,0,1,0
Less than 25,Other,Male,F,0,0,1,0
Less than 25,African-American,Male,F,1,1,0,1
Greater than 45,African-American,Male,M,1,23,0,1
Less than 25,African-American,Male,M,1,0,1,1
Greater than 45,Hispanic,Male,F,0,1,19,0
Greater than 45,African-American,Male,F,1,3,2,0
Greater than 45,Caucasian,Male,M,1,8,71,1
25 - 45,African-American,Male,M,1,2,0,1
25 - 45,Caucasian,Male,F,1,0,0,1
25 - 45,African-American,Male,F,1,9,79,1
Greater than 45,Caucasian,Male,F,0,2,358,0
Less than 25,African-American,Male,F,1,0,0,1
25 - 45,African-American,Male,M,1,2,25,0
Less than 25,African-American,Female,M,0,1,0,0
25 - 45,Other,Male,M,1,2,2,1
Greater than 45,Caucasian,Male,F,0,1,1,0
25 - 45,Caucasian,Female,M,0,0,0,0
25 - 45,Caucasian,Male,M,0,4,1,0
25 - 45,African-American,Female,F,1,23,2,1
Less than 25,Other,Male,F,1,5,0,1
25 - 45,African-American,Male,F,1,2,1,1
25 - 45,African-American,Male,M,0,0,2,0
25 - 45,African-American,Female,F,0,0,29,0
25 - 45,Caucasian,Female,F,1,7,1,1
25 - 45,African-American,Male,F,0,2,1,0
25 - 45,African-American,Female,F,0,1,38,0
Greater than 45,Caucasian,Male,F,1,7,0,1
25 - 45,African-American,Male,F,0,15,1,0
25 - 45,African-American,Male,M,0,2,0,0
Greater than 45,Caucasian,Female,M,1,0,0,1
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,Other,Male,M,1,1,1,1
Greater than 45,African-American,Male,F,0,0,1,0
25 - 45,Caucasian,Male,F,1,4,1,1
25 - 45,African-American,Female,F,0,2,2,0
25 - 45,African-American,Female,M,0,5,0,0
25 - 45,African-American,Male,F,1,11,223,1
25 - 45,African-American,Male,M,1,0,1,0
25 - 45,Other,Male,F,1,4,2,1
Greater than 45,African-American,Male,F,0,11,129,0
Less than 25,African-American,Male,F,0,2,71,0
25 - 45,African-American,Male,M,0,0,0,0
Greater than 45,Caucasian,Male,F,0,0,0,0
25 - 45,Caucasian,Male,F,1,13,51,1
Greater than 45,African-American,Male,F,0,0,13,0
25 - 45,Caucasian,Male,F,0,1,3,0
25 - 45,African-American,Male,M,1,11,1,1
25 - 45,Caucasian,Male,F,0,1,6,0
Less than 25,African-American,Male,F,0,0,0,0
25 - 45,African-American,Male,F,0,4,0,0
25 - 45,Hispanic,Male,F,0,4,1,0
25 - 45,Caucasian,Male,F,1,0,30,1
25 - 45,Caucasian,Male,F,1,0,35,1
25 - 45,African-American,Male,F,0,14,1,0
Greater than 45,Caucasian,Male,M,0,1,1,0
25 - 45,African-American,Male,F,1,25,25,1
25 - 45,Caucasian,Male,M,1,8,4,1
25 - 45,African-American,Male,F,0,0,0,0
Less than 25,Caucasian,Male,M,1,1,5,1
25 - 45,Other,Female,M,0,0,1,0
25 - 45,Other,Female,F,0,3,1,0
25 - 45,Hispanic,Female,M,0,0,0,0
Less than 25,Hispanic,Male,F,1,1,1,1
Less than 25,Caucasian,Female,F,1,5,0,1
Less than 25,Hispanic,Male,M,0,0,0,0
25 - 45,African-American,Male,M,0,1,0,0
Less than 25,African-American,Male,F,1,1,1,1
25 - 45,African-American,Male,F,1,2,1,1
25 - 45,Other,Male,F,0,0,0,0
25 - 45,African-American,Male,F,0,4,0,0
25 - 45,African-American,Female,F,0,2,0,0
Less than 25,African-American,Male,F,0,0,2,0
Less than 25,Hispanic,Male,F,0,0,2,0
Greater than 45,African-American,Female,F,0,0,0,0
Less than 25,African-American,Female,F,1,0,3,1
Greater than 45,African-American,Female,F,0,0,1,0
25 - 45,Caucasian,Male,F,0,0,0,0
25 - 45,Caucasian,Male,F,1,0,1,1
25 - 45,African-American,Male,F,1,11,1,1
Less than 25,African-American,Male,M,1,3,1,1
Less than 25,Caucasian,Female,F,0,1,0,0
25 - 45,African-American,Female,M,0,2,0,0
25 - 45,Other,Female,F,0,0,0,0
Greater than 45,African-American,Male,F,1,3,24,1
25 - 45,African-American,Male,F,0,0,41,0
25 - 45,Caucasian,Male,F,0,3,2,0
Greater than 45,Caucasian,Male,M,0,1,12,0
Greater than 45,Caucasian,Male,F,0,3,14,0
Less than 25,African-American,Male,M,1,0,1,1
25 - 45,African-American,Male,M,1,1,1,1
25 - 45,Hispanic,Male,F,1,3,1,1
25 - 45,Caucasian,Male,M,0,5,1,0
25 - 45,African-American,Male,M,0,5,0,0
Less than 25,Caucasian,Male,F,1,0,0,1
25 - 45,African-American,Male,F,1,5,2,1
25 - 45,African-American,Male,F,1,6,2,1
Less than 25,Other,Male,F,0,0,1,0
Greater than 45,Caucasian,Male,F,0,2,1,0
Less than 25,African-American,Female,M,0,0,0,0
Less than 25,African-American,Male,M,1,4,11,1
Greater than 45,Caucasian,Male,F,0,0,1,0
25 - 45,Caucasian,Male,F,0,5,10,0
25 - 45,Other,Male,F,1,2,7,1
25 - 45,African-American,Female,F,0,5,0,0
Less than 25,Hispanic,Male,F,0,0,45,0
25 - 45,African-American,Male,M,0,0,0,0
25 - 45,Caucasian,Male,M,1,0,1,1
25 - 45,Caucasian,Male,M,1,3,0,1
25 - 45,Caucasian,Female,F,0,0,1,0
Less than 25,Other,Male,F,1,9,4,1
25 - 45,African-American,Male,F,0,0,17,0
Less than 25,African-American,Male,F,1,0,0,1
Greater than 45,Caucasian,Female,M,0,0,1,0
Greater than 45,Caucasian,Male,M,0,0,1,0
25 - 45,African-American,Male,F,0,7,1,0
Less than 25,African-American,Male,F,1,0,209,1
25 - 45,Caucasian,Male,F,0,8,68,0
Less than 25,African-American,Male,F,1,2,19,1
Greater than 45,Caucasian,Male,F,1,36,32,1
25 - 45,Caucasian,Male,M,1,2,1,1
Less than 25,Hispanic,Male,F,1,3,22,0
25 - 45,African-American,Female,F,0,0,12,0
25 - 45,Caucasian,Female,M,1,2,1,1
Less than 25,Hispanic,Female,M,1,1,0,0
25 - 45,Caucasian,Male,F,0,1,1,0
Less than 25,African-American,Female,F,1,0,1,1
25 - 45,Caucasian,Male,M,0,0,0,0
Less than 25,African-American,Male,F,0,0,0,0
25 - 45,Other,Male,F,1,1,0,1
25 - 45,African-American,Male,F,0,0,1,0
25 - 45,Caucasian,Female,M,0,0,3,0
Greater than 45,Hispanic,Male,M,0,1,1,0
25 - 45,African-American,Male,F,1,12,1,1
Less than 25,African-American,Male,F,0,1,1,0
Greater than 45,African-American,Male,F,0,3,0,0
25 - 45,Caucasian,Male,F,0,0,19,0
Less than 25,African-American,Male,F,1,2,1,1
25 - 45,Hispanic,Male,M,0,0,2,0
25 - 45,Other,Male,M,0,0,0,0
Less than 25,Caucasian,Female,F,0,0,0,0
Greater than 45,Caucasian,Male,M,0,0,0,0
Less than 25,Caucasian,Male,F,0,2,2,0
25 - 45,African-American,Male,M,1,6,3,1
Less than 25,Caucasian,Male,F,0,0,0,0
Less than 25,African-American,Female,F,1,0,0,1
Greater than 45,African-American,Male,F,0,3,3,0
25 - 45,African-American,Male,M,1,2,50,0
Greater than 45,Caucasian,Female,M,0,0,0,0
Less than 25,African-American,Male,F,1,3,0,1
Less than 25,Other,Female,F,0,1,2,0
25 - 45,Hispanic,Male,F,0,1,95,0
25 - 45,Caucasian,Male,F,0,0,1,0
Less than 25,African-American,Male,F,1,1,0,0
Less than 25,Caucasian,Male,M,1,2,0,1
Less than 25,African-American,Male,F,1,4,219,1
Less than 25,African-American,Male,F,1,0,12,1
25 - 45,Caucasian,Male,M,0,1,0,0
Greater than 45,Caucasian,Female,M,1,1,0,1
25 - 45,Caucasian,Male,F,1,0,8,1
25 - 45,African-American,Male,F,1,7,127,1
Greater than 45,Caucasian,Female,M,0,1,0,0
Less than 25,African-American,Female,F,0,0,1,0
25 - 45,African-American,Male,F,0,1,4,0
25 - 45,African-American,Male,M,0,1,1,0
25 - 45,African-American,Male,F,1,6,1,1
Less than 25,African-American,Male,F,1,4,260,1
Less than 25,Caucasian,Male,M,0,3,5,0
25 - 45,African-American,Male,F,1,23,17,1
25 - 45,African-American,Male,F,0,2,5,0
Greater than 45,African-American,Male,F,0,2,0,0
25 - 45,African-American,Male,F,1,7,1,0
Greater than 45,Caucasian,Male,F,1,23,360,1
Greater than 45,Caucasian,Female,M,0,0,0,0
25 - 45,African-American,Male,F,1,12,31,1
25 - 45,African-American,Male,F,1,5,51,0
25 - 45,Caucasian,Male,M,0,3,0,0
25 - 45,Hispanic,Female,F,0,0,2,0
25 - 45,African-American,Male,F,1,14,0,1
25 - 45,African-American,Male,F,0,2,1,0
Less than 25,African-American,Male,M,1,0,21,1
25 - 45,Caucasian,Male,F,0,0,0,0
Greater than 45,African-American,Male,F,0,5,12,0
25 - 45,African-American,Male,F,1,9,52,1
Greater than 45,Caucasian,Male,F,1,4,7,1
25 - 45,African-American,Male,F,0,3,1,0
Greater than 45,Other,Male,F,0,4,1,0
Less than 25,Hispanic,Male,M,0,1,5,0
25 - 45,Caucasian,Female,M,0,0,0,0
Greater than 45,Caucasian,Male,M,0,0,0,0
Less than 25,African-American,Female,F,0,0,0,0
Greater than 45,African-American,Male,F,0,11,110,0
25 - 45,Caucasian,Male,M,1,0,0,1
Less than 25,Hispanic,Male,M,0,0,0,0
Less than 25,Caucasian,Male,F,0,0,1,0
Greater than 45,Caucasian,Female,M,0,2,1,0
25 - 45,African-American,Male,M,1,7,1,1
Less than 25,Caucasian,Male,F,1,1,0,1
25 - 45,African-American,Male,F,1,8,3,1
25 - 45,Other,Male,F,0,1,2,0
Less than 25,African-American,Male,F,1,0,0,1
25 - 45,Caucasian,Male,M,1,0,5,1
Greater than 45,African-American,Male,M,1,21,59,1
Less than 25,African-American,Male,F,0,3,106,0
Greater than 45,Hispanic,Male,M,1,1,0,1
25 - 45,Caucasian,Male,F,0,0,0,0
Greater than 45,African-American,Male,F,1,1,25,1
25 - 45,Caucasian,Male,M,0,3,0,0
25 - 45,African-American,Male,F,0,3,33,0
Less than 25,Caucasian,Male,F,1,3,0,1
25 - 45,Caucasian,Male,F,0,0,1,0
25 - 45,African-American,Male,F,0,2,0,0
Less than 25,African-American,Female,F,1,3,1,1
Less than 25,Caucasian,Male,F,1,1,32,1
25 - 45,Caucasian,Male,M,0,2,0,0
Less than 25,Caucasian,Female,F,0,0,0,0
25 - 45,Caucasian,Male,M,0,0,0,0
25 - 45,Hispanic,Male,F,1,2,0,1
Less than 25,African-American,Male,F,1,1,1,1
Less than 25,African-American,Male,M,1,1,1,1
Greater than 45,Caucasian,Male,F,0,4,1,0
Greater than 45,African-American,Female,F,0,3,0,0
25 - 45,African-American,Male,M,0,1,4,0
25 - 45,African-American,Male,F,0,5,1,0
Less than 25,Caucasian,Male,M,0,0,0,0
Greater than 45,African-American,Female,F,1,2,9,1
25 - 45,Caucasian,Male,M,1,0,3,1
Less than 25,Other,Male,F,1,0,22,1
25 - 45,African-American,Male,M,1,13,1,1
25 - 45,African-American,Male,M,1,1,13,1
25 - 45,African-American,Male,F,1,3,1,1
Greater than 45,Caucasian,Male,F,1,6,1,1
25 - 45,Caucasian,Male,F,1,1,4,1
Greater than 45,African-American,Male,F,1,5,118,1
25 - 45,African-American,Male,F,1,10,0,1
25 - 45,African-American,Male,F,0,5,1,0
Greater than 45,Caucasian,Male,F,0,2,3,0
25 - 45,African-American,Male,F,0,0,1,0
Less than 25,African-American,Male,F,1,6,0,0
Greater than 45,African-American,Male,F,1,28,5,1
25 - 45,African-American,Male,F,1,8,10,1
Less than 25,African-American,Female,F,1,6,26,1
Greater than 45,African-American,Male,M,0,2,0,0
Greater than 45,African-American,Male,M,1,12,3,1
Less than 25,Caucasian,Male,M,1,1,0,1
25 - 45,African-American,Male,M,0,1,0,0
Less than 25,African-American,Male,F,1,1,2,1
Greater than 45,Caucasian,Male,F,0,0,35,0
Less than 25,Hispanic,Male,F,0,0,1,0
25 - 45,Caucasian,Male,F,0,3,6,0
Greater than 45,Caucasian,Male,F,0,3,0,0
25 - 45,Caucasian,Male,F,1,4,1,1
Greater than 45,Caucasian,Male,F,0,0,0,0
25 - 45,Hispanic,Male,F,1,4,31,1
Greater than 45,Caucasian,Male,F,1,1,0,1
25 - 45,Asian,Male,F,0,0,101,0
Greater than 45,Hispanic,Male,F,0,1,10,0
25 - 45,Hispanic,Male,M,0,2,0,0
Less than 25,Caucasian,Female,F,1,6,3,1
Less than 25,Caucasian,Male,M,1,2,8,1
Greater than 45,Asian,Male,F,1,5,11,1
25 - 45,African-American,Male,F,0,1,1,0
25 - 45,Caucasian,Female,M,0,0,1,0
25 - 45,Caucasian,Male,M,1,0,1,1
Greater than 45,African-American,Male,M,0,0,1,0
25 - 45,African-American,Male,F,1,4,8,1
Greater than 45,Caucasian,Female,M,0,0,0,0
25 - 45,African-American,Male,F,0,0,1,0
25 - 45,Caucasian,Male,M,1,1,1,1
25 - 45,Hispanic,Male,F,1,7,1,1
Greater than 45,Hispanic,Male,F,0,20,27,0
Greater than 45,African-American,Male,F,1,33,13,1
25 - 45,Caucasian,Male,F,0,2,0,0
Greater than 45,Caucasian,Male,M,0,1,1,0
25 - 45,Caucasian,Male,F,0,1,74,0
Greater than 45,Caucasian,Male,M,0,4,0,0
Greater than 45,Other,Male,F,0,12,1,0
25 - 45,African-American,Female,M,0,0,1,0
Greater than 45,Caucasian,Female,M,0,0,0,0
25 - 45,Hispanic,Male,M,0,7,37,0
25 - 45,Other,Male,M,0,2,1,0
25 - 45,African-American,Male,M,0,2,0,0
25 - 45,African-American,Female,F,0,6,52,0
25 - 45,Other,Male,M,0,0,0,0
Greater than 45,African-American,Male,F,1,10,127,1
25 - 45,African-American,Male,F,1,5,2,1
Less than 25,Caucasian,Male,F,0,0,1,0
Greater than 45,Caucasian,Male,F,1,1,129,1
Greater than 45,African-American,Male,M,0,4,1,0
Less than 25,African-American,Male,F,1,0,0,1
25 - 45,Caucasian,Male,F,1,4,5,1
Less than 25,Caucasian,Male,F,0,0,15,0
Less than 25,Caucasian,Male,M,0,0,1,0
25 - 45,Caucasian,Male,F,1,6,1,0
25 - 45,African-American,Male,M,1,1,0,1
25 - 45,African-American,Male,F,0,0,0,0
25 - 45,African-American,Male,F,1,6,4,1
25 - 45,Caucasian,Male,F,1,1,0,1
Less than 25,Caucasian,Male,F,1,0,0,1
25 - 45,Other,Male,F,0,1,5,0
25 - 45,Caucasian,Male,F,0,0,0,0
25 - 45,Hispanic,Male,F,0,20,0,0
25 - 45,African-American,Male,F,0,0,2,0
25 - 45,African-American,Male,F,1,14,1,1
Less than 25,Caucasian,Male,M,1,9,10,1
Less than 25,Hispanic,Male,F,1,0,0,1
Greater than 45,Caucasian,Male,M,0,1,0,0
25 - 45,African-American,Male,F,1,5,1,1
25 - 45,Hispanic,Male,M,1,2,4,1
Greater than 45,Caucasian,Male,F,1,2,0,1
25 - 45,African-American,Male,M,0,1,0,0
Less than 25,Caucasian,Male,F,0,2,0,0
25 - 45,African-American,Male,F,0,8,1,0
Greater than 45,African-American,Male,F,0,6,144,0
25 - 45,African-American,Male,F,1,3,1,0
Greater than 45,Other,Female,F,0,0,17,0
25 - 45,African-American,Male,F,1,3,3,1
Less than 25,African-American,Male,F,1,3,0,1
Greater than 45,Caucasian,Male,M,0,1,5,0
Less than 25,African-American,Male,F,1,3,7,1
Greater than 45,African-American,Male,M,0,3,0,0
25 - 45,African-American,Male,F,0,0,9,0
25 - 45,Caucasian,Male,F,0,1,6,0
25 - 45,African-American,Male,F,1,16,1,1
25 - 45,African-American,Female,M,0,0,1,0
Less than 25,African-American,Male,F,0,1,0,0
25 - 45,Caucasian,Male,F,1,2,12,1
25 - 45,Caucasian,Male,F,0,5,0,0
Less than 25,Hispanic,Male,F,0,8,0,0
25 - 45,African-American,Male,M,1,5,64,1
25 - 45,Caucasian,Male,M,0,11,180,0
25 - 45,African-American,Female,F,1,6,1,1
25 - 45,Caucasian,Male,M,0,0,0,0
25 - 45,African-American,Male,F,1,15,0,0
25 - 45,Hispanic,Male,F,0,4,0,0
25 - 45,African-American,Female,M,0,0,0,0
Greater than 45,Hispanic,Male,F,0,1,7,0
Greater than 45,Caucasian,Female,M,1,2,0,1
Greater than 45,Caucasian,Male,F,1,5,1,1
Greater than 45,Caucasian,Male,M,1,0,0,1
Greater than 45,Caucasian,Female,M,0,0,1,0
25 - 45,African-American,Male,F,1,5,1,1
Less than 25,Caucasian,Female,M,0,0,0,0
Less than 25,Caucasian,Male,M,0,1,9,0
25 - 45,Other,Male,M,1,0,1,1
25 - 45,Hispanic,Male,M,0,0,0,0
25 - 45,Other,Male,F,0,1,0,0
25 - 45,African-American,Male,M,1,0,0,0
Less than 25,Caucasian,Female,F,0,0,2,0
25 - 45,African-American,Male,M,0,0,1,0
Less than 25,Hispanic,Male,M,1,0,1,1
25 - 45,Hispanic,Male,F,0,1,0,0
Less than 25,Caucasian,Female,F,0,0,0,0
Less than 25,African-American,Male,F,0,1,0,0
25 - 45,African-American,Male,M,1,3,19,1
25 - 45,African-American,Male,M,1,3,6,1
25 - 45,African-American,Male,F,0,0,1,0
Less than 25,African-American,Male,F,1,11,0,1
25 - 45,African-American,Female,F,0,1,0,0
25 - 45,Hispanic,Male,M,1,1,39,1
25 - 45,African-American,Male,M,0,1,0,0
25 - 45,Caucasian,Male,F,1,6,34,1
Greater than 45,Caucasian,Female,M,0,0,0,0
25 - 45,Caucasian,Male,M,0,2,1,0
25 - 45,African-American,Male,M,1,5,1,1
25 - 45,Caucasian,Male,F,0,0,0,0
Less than 25,African-American,Male,F,1,0,0,1
25 - 45,African-American,Male,F,1,4,31,1
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,Caucasian,Male,M,1,2,25,1
25 - 45,African-American,Male,F,0,10,0,0
Greater than 45,African-American,Male,M,1,9,3,1
Less than 25,Caucasian,Female,F,0,3,5,0
Less than 25,African-American,Female,M,0,0,7,0
Less than 25,Caucasian,Female,F,1,2,22,1
25 - 45,African-American,Male,M,0,1,0,0
25 - 45,African-American,Male,M,0,0,0,0
Greater than 45,African-American,Male,F,1,15,1,1
25 - 45,Hispanic,Male,M,0,0,0,0
Less than 25,African-American,Male,F,1,4,2,1
25 - 45,Caucasian,Male,F,1,3,1,1
25 - 45,Caucasian,Male,M,0,5,1,0
25 - 45,Caucasian,Male,F,0,1,1,0
Less than 25,Caucasian,Male,F,1,3,9,1
25 - 45,African-American,Male,F,0,0,1,0
25 - 45,African-American,Male,F,1,18,0,1
25 - 45,Caucasian,Female,F,1,0,0,1
Less than 25,Other,Male,F,0,0,16,0
Greater than 45,African-American,Female,F,1,4,1,1
Greater than 45,Caucasian,Female,M,1,0,1,1
Less than 25,African-American,Male,F,0,0,0,0
Less than 25,African-American,Female,F,0,0,1,0
25 - 45,African-American,Male,F,0,0,2,0
25 - 45,African-American,Male,F,1,8,1,1
25 - 45,African-American,Female,F,0,10,0,0
Greater than 45,Caucasian,Female,F,0,1,1,0
25 - 45,Caucasian,Male,F,1,2,4,1
25 - 45,African-American,Male,F,1,0,1,1
Less than 25,African-American,Male,F,1,1,1,1
25 - 45,African-American,Male,F,1,13,2,1
25 - 45,Caucasian,Male,F,1,1,0,1
25 - 45,African-American,Male,F,1,23,55,1
Greater than 45,African-American,Male,F,0,20,1,0
Less than 25,African-American,Male,F,0,3,0,0
25 - 45,African-American,Male,M,1,1,79,1
Less than 25,Hispanic,Male,M,1,2,19,1
Greater than 45,African-American,Male,M,1,2,5,1
25 - 45,African-American,Male,M,0,0,1,0
25 - 45,African-American,Female,F,0,0,1,0
Greater than 45,Caucasian,Male,M,0,1,1,0
Greater than 45,Hispanic,Male,F,0,0,1,0
Less than 25,African-American,Male,F,0,0,0,0
25 - 45,African-American,Male,F,0,11,1,0
25 - 45,Other,Male,M,1,4,0,1
Greater than 45,Other,Male,F,0,0,0,0
25 - 45,African-American,Female,M,0,0,0,0
Greater than 45,Caucasian,Female,F,0,2,29,0
25 - 45,African-American,Male,M,0,0,1,0
25 - 45,African-American,Male,M,1,0,0,1
Greater than 45,African-American,Male,F,1,17,6,1
Less than 25,African-American,Male,F,0,3,323,0
25 - 45,Caucasian,Female,M,0,0,0,0
25 - 45,Caucasian,Female,F,1,15,3,1
25 - 45,Hispanic,Male,F,1,7,0,1
Less than 25,African-American,Male,M,1,2,80,1
25 - 45,African-American,Male,F,0,3,0,0
